file,year,var,name,unit
35206-0030-Data.tsv,1964,var1,farms,
35206-0030-Data.tsv,1964,var4,acres,
35206-0030-Data.tsv,1964,var6,farmland_val_per_farm,
35206-0030-Data.tsv,1964,var7,farmland_val_per_acre,
35206-0030-Data.tsv,1964,var425,income_hh_reporting,
35206-0030-Data.tsv,1964,var426,income_val,
35206-0030-Data.tsv,1964,var433,income_rent_hh_reporting,
35206-0030-Data.tsv,1964,var434,income_rent_val,
35206-0030-Data.tsv,1964,var151,acres_full_owned,
35206-0030-Data.tsv,1964,var152,acres_part,
35206-0030-Data.tsv,1964,var153,acres_managers,
35206-0030-Data.tsv,1964,var154,acres_tenant_rented,
35206-0033-Data.tsv,1969,item01001,farms,
35206-0033-Data.tsv,1969,item01002,acres,
35206-0033-Data.tsv,1969,item01006,farmland_val,
35206-0033-Data.tsv,1969,item01007,farmland_val_per_farm,
35206-0033-Data.tsv,1969,item01008,farmland_val_per_acre,
35206-0033-Data.tsv,1969,item04010,income_rent_farms_reporting,
35206-0033-Data.tsv,1969,item04011,income_rent_val,
35206-0033-Data.tsv,1969,????,income_val,
35206-0033-Data.tsv,1969,item02005,acres_full_owned,
35206-0033-Data.tsv,1969,item02008,acres_part,
35206-0033-Data.tsv,1969,item02011,acres_tenant_rented,
35206-0036-Data.tsv,1974,item01001,farms,
35206-0036-Data.tsv,1974,item01002,acres,
35206-0036-Data.tsv,1974,item01006,farmland_val,
35206-0036-Data.tsv,1974,item01007,farmland_val_per_farm,
35206-0036-Data.tsv,1974,item01008,farmland_val_per_acre,
35206-0036-Data.tsv,1974,item04010,income_rent_farms_reporting,
35206-0036-Data.tsv,1974,item04011,income_rent_val,
35206-0036-Data.tsv,1974,????,income_val,
35206-0036-Data.tsv,1974,item02005,acres_full_owned,
35206-0036-Data.tsv,1974,item02008,acres_part,
35206-0036-Data.tsv,1974,item02011,acres_tenant_rented,
35206-0039-Data.tsv,1978,item01001,farms,
35206-0039-Data.tsv,1978,item01002,acres,
35206-0039-Data.tsv,1978,item01004,farmland_val_per_farm,
35206-0039-Data.tsv,1978,item01005,farmland_val_per_acre,
35206-0039-Data.tsv,1978,item03036,interest_farms,
35206-0039-Data.tsv,1978,item03037,interest_val,1000
35206-0039-Data.tsv,1978,item03038,interest_re_farms,
35206-0039-Data.tsv,1978,item03039,interest_re_val,1000
35206-0039-Data.tsv,1978,item03042,cash_rent_farms,
35206-0039-Data.tsv,1978,item03043,cash_rent_val,1000
35206-0039-Data.tsv,1978,item03044,property_tax_farms,
35206-0039-Data.tsv,1978,item03045,property_tax_val,1000
35206-0039-Data.tsv,1978,item04001,net_cash_farms,
35206-0039-Data.tsv,1978,item04002,net_cash_val,1000
35206-0039-Data.tsv,1978,item04022,income_rent_farms_reporting,
35206-0039-Data.tsv,1978,item04023,income_rent_val,1000
35206-0039-Data.tsv,1978,item10006,acres_full_owned,
35206-0039-Data.tsv,1978,item10010,acres_part,
35206-0039-Data.tsv,1978,item10011,acres_part_owned,
35206-0039-Data.tsv,1978,item10012,acres_part_rented,
35206-0039-Data.tsv,1978,item10016,acres_tenant_rented,
35206-0040-Data.tsv,1982,item01001,farms,
35206-0040-Data.tsv,1982,item01002,acres,
35206-0040-Data.tsv,1982,item01004,farmland_val_per_farm,
35206-0040-Data.tsv,1982,item01005,farmland_val_per_acre,
35206-0040-Data.tsv,1982,item03036,interest_farms,
35206-0040-Data.tsv,1982,item03037,interest_val,1000
35206-0040-Data.tsv,1982,item03038,interest_re_farms,
35206-0040-Data.tsv,1982,item03039,interest_re_val,1000
35206-0040-Data.tsv,1982,item03042,cash_rent_farms,
35206-0040-Data.tsv,1982,item03043,cash_rent_val,1000
35206-0040-Data.tsv,1982,item03044,property_tax_farms,
35206-0040-Data.tsv,1982,item03045,property_tax_val,1000
35206-0040-Data.tsv,1982,item04001,net_cash_farms,
35206-0040-Data.tsv,1982,item04002,net_cash_val,1000
35206-0040-Data.tsv,1982,item04022,income_rent_farms_reporting,
35206-0040-Data.tsv,1982,item04023,income_rent_val,1000
35206-0040-Data.tsv,1982,item10006,acres_full_owned,
35206-0040-Data.tsv,1982,item10010,acres_part,
35206-0040-Data.tsv,1982,item10011,acres_part_owned,
35206-0040-Data.tsv,1982,item10012,acres_part_rented,
35206-0040-Data.tsv,1982,item10016,acres_tenant_rented,
35206-0041-Data.tsv,1987,item01001,farms,
35206-0041-Data.tsv,1987,item01002,acres,
35206-0041-Data.tsv,1987,item01004,farmland_val_per_farm,
35206-0041-Data.tsv,1987,item01005,farmland_val_per_acre,
35206-0041-Data.tsv,1987,item03036,interest_farms,
35206-0041-Data.tsv,1987,item03037,interest_val,1000
35206-0041-Data.tsv,1987,item03038,interest_re_farms,
35206-0041-Data.tsv,1987,item03039,interest_re_val,1000
35206-0041-Data.tsv,1987,item03042,cash_rent_farms,
35206-0041-Data.tsv,1987,item03043,cash_rent_val,1000
35206-0041-Data.tsv,1987,item03044,property_tax_farms,
35206-0041-Data.tsv,1987,item03045,property_tax_val,1000
35206-0041-Data.tsv,1987,item04001,net_cash_farms,
35206-0041-Data.tsv,1987,item04002,net_cash_val,1000
35206-0041-Data.tsv,1987,item04022,income_rent_farms_reporting,
35206-0041-Data.tsv,1987,item04023,income_rent_val,1000
35206-0041-Data.tsv,1987,item10006,acres_full_owned,
35206-0041-Data.tsv,1987,item10010,acres_part,
35206-0041-Data.tsv,1987,item10011,acres_part_owned,
35206-0041-Data.tsv,1987,item10012,acres_part_rented,
35206-0041-Data.tsv,1987,item10016,acres_tenant_rented,
35206-0042-Data.tsv,1992,item010001,farms,
35206-0042-Data.tsv,1992,item010002,acres,
35206-0042-Data.tsv,1992,item010004,farmland_val_per_farm,
35206-0042-Data.tsv,1992,item010005,farmland_val_per_acre,
