file,year,state,county,name,fips,avg_age,acres,acres_full_owned,acres_part,acres_part_owned,acres_part_rented,acres_tenant_rented,acres_managers,acres_irrigated,acres_insured,farms,farmland_val,farmland_val_per_farm,farmland_val_per_acre,cash_rent_farms,cash_rent_val,income_rent_farms_reporting,income_rent_val,net_cash_farms,net_cash_val,interest_farms,interest_val,interest_re_farms,interest_re_val,property_tax_farms,property_tax_val,acres_improved,acres_unimproved,acres_wooded,farm39,farm1019,farm2049,farm5099,farm100,farm500,farm1000
35206-0002-Data.tsv,1840,state,county,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35206-0003-Data.tsv,1850,state,county,name,fips,,,,,,,,,,,farms,farmval,,,,,,,,,,,,,,,acimp,acunimp,,,,,,,,
35206-0004-Data.tsv,1860,state,county,name,fips,,,,,,,,,,,,farmval,,,,,,,,,,,,,,,acimp,acunimp,,farm39,farm1019,farm2049,farm5099,farm100,farm500,farm1000
35206-0005-Data.tsv,1870,state,county,name,fips,,,,,,,,,,,farms,farmval,,,,,,,,,,,,,,,acimp,acunioth,acwoods,,,,,,,
35206-0006-Data.tsv,1880,state,county,name,fips,,acres,,,,,,,,,farms,farmval,,,,,,,,,,,,,,,,,,,,,,,,
35206-0007-Data.tsv,1890,state,county,name,fips,,farmarea,,,,,,,,,farms,farmval,,,,,,,,,,,,,,,,,,,,,,,,
35206-0008-Data.tsv,1900,state,county,name,fips,,acfarm,,,,,,,,,farms,farmval,,,,,,,,,,,,,,,,,,,,,,,,
35206-0009-Data.tsv,1910,state,county,name,fips,,farmland,acresown,,,,acresten,acresman,,,farms,farmval,valpfarm,landpacr,,,,,,,,,,,,,,,,,,,,,,
35206-0011-Data.tsv,1920,state,county,name,fips,,var18,var31a,var32a,,,var41,var37,,,var1,var26a,,,,,,,,,,,,,,,,,,,,,,,,
35206-0012-Data.tsv,1925,state,county,name,fips,,var38,var85,var86,var87,var88,var90,var89,,,var2,var125,var132,var133,,,,,,,,,,,,,,,,,,,,,,
35206-0013-Data.tsv,1930,state,county,name,fips,,var8,var28,var29,,,var31,var30,,,var3,var120,,,,,,,,,,,,,,,,,,,,,,,,
35206-0015-Data.tsv,1935,state,county,name,fips,,var12,var15,var16,,,var18,var17,,,var2,var19,var20,var21,,,,,,,,,,,,,,,,,,,,,,
35206-0016-Data.tsv,1940,state,county,name,fips,var514,var7,var49,var50,var51,var52,var54,var53,,,var4,var29,,,,,,,,,,,,,,,,,,,,,,,,
35206-0020-Data.tsv,1945,state,county,name,fips,var73,var4,var567,var568,var569,var570,var572,var571,,,var2,var39,var40,var42,,,,,,,,,,,,,,,,,,,,,,
35206-0021-Data.tsv,1950,state,county,name,fips,,var8,var148,var149,,,var151,var150,var49,,var1,,var10,var11,,,,,,,,,,,,,,,,,,,,,,
35206-0025-Data.tsv,1954,state,county,name,,,var8,var117,var118,,,var120,var119,var51,,var1,,var10,var11,,,,,,,,,,,,,,,,,,,,,,
35206-0027-Data.tsv,1959,state,county,name,,var450,var5,var195,var196,,,var198,var197,var54,,var1,,var7,var8,,,,,,,,,,,,,,,,,,,,,,
35206-0030-Data.tsv,1964,state,county,name,fips,var323,var4,var151,var152,,,var154,var153,var50,,var1,,var6,var7,,,,,,,,,,,,,,,,,,,,,,
35206-0033-Data.tsv,1969,state,county,name,fips,item02041,item01002,item02005,item02008,,,item02011,,item01057,,item01001,,item01007,item01008,,,item04010,item04011,,,,,,,,,,,,,,,,,,
35206-0036-Data.tsv,1974,state,county,name,fips,item02041,item01002,item02005,item02008,,,item02011,,item01057,,item01001,,item01007,item01008,,,item04010,item04011,,,,,,,,,,,,,,,,,,
